geoid,name,B08134001,"B08134001, Error",B08134002,"B08134002, Error",B08134003,"B08134003, Error",B08134004,"B08134004, Error",B08134005,"B08134005, Error",B08134006,"B08134006, Error",B08134007,"B08134007, Error",B08134008,"B08134008, Error",B08134009,"B08134009, Error",B08134010,"B08134010, Error",B08134011,"B08134011, Error",B08134012,"B08134012, Error",B08134013,"B08134013, Error",B08134014,"B08134014, Error",B08134015,"B08134015, Error",B08134016,"B08134016, Error",B08134017,"B08134017, Error",B08134018,"B08134018, Error",B08134019,"B08134019, Error",B08134020,"B08134020, Error",B08134021,"B08134021, Error",B08134022,"B08134022, Error",B08134023,"B08134023, Error",B08134024,"B08134024, Error",B08134025,"B08134025, Error",B08134026,"B08134026, Error",B08134027,"B08134027, Error",B08134028,"B08134028, Error",B08134029,"B08134029, Error",B08134030,"B08134030, Error",B08134031,"B08134031, Error",B08134032,"B08134032, Error",B08134033,"B08134033, Error",B08134034,"B08134034, Error",B08134035,"B08134035, Error",B08134036,"B08134036, Error",B08134037,"B08134037, Error",B08134038,"B08134038, Error",B08134039,"B08134039, Error",B08134040,"B08134040, Error",B08134041,"B08134041, Error",B08134042,"B08134042, Error",B08134043,"B08134043, Error",B08134044,"B08134044, Error",B08134045,"B08134045, Error",B08134046,"B08134046, Error",B08134047,"B08134047, Error",B08134048,"B08134048, Error",B08134049,"B08134049, Error",B08134050,"B08134050, Error",B08134051,"B08134051, Error",B08134052,"B08134052, Error",B08134053,"B08134053, Error",B08134054,"B08134054, Error",B08134055,"B08134055, Error",B08134056,"B08134056, Error",B08134057,"B08134057, Error",B08134058,"B08134058, Error",B08134059,"B08134059, Error",B08134060,"B08134060, Error",B08134061,"B08134061, Error",B08134062,"B08134062, Error",B08134063,"B08134063, Error",B08134064,"B08134064, Error",B08134065,"B08134065, Error",B08134066,"B08134066, Error",B08134067,"B08134067, Error",B08134068,"B08134068, Error",B08134069,"B08134069, Error",B08134070,"B08134070, Error",B08134071,"B08134071, Error",B08134072,"B08134072, Error",B08134073,"B08134073, Error",B08134074,"B08134074, Error",B08134075,"B08134075, Error",B08134076,"B08134076, Error",B08134077,"B08134077, Error",B08134078,"B08134078, Error",B08134079,"B08134079, Error",B08134080,"B08134080, Error",B08134081,"B08134081, Error",B08134082,"B08134082, Error",B08134083,"B08134083, Error",B08134084,"B08134084, Error",B08134085,"B08134085, Error",B08134086,"B08134086, Error",B08134087,"B08134087, Error",B08134088,"B08134088, Error",B08134089,"B08134089, Error",B08134090,"B08134090, Error",B08134091,"B08134091, Error",B08134092,"B08134092, Error",B08134093,"B08134093, Error",B08134094,"B08134094, Error",B08134095,"B08134095, Error",B08134096,"B08134096, Error",B08134097,"B08134097, Error",B08134098,"B08134098, Error",B08134099,"B08134099, Error",B08134100,"B08134100, Error",B08134101,"B08134101, Error",B08134102,"B08134102, Error",B08134103,"B08134103, Error",B08134104,"B08134104, Error",B08134105,"B08134105, Error",B08134106,"B08134106, Error",B08134107,"B08134107, Error",B08134108,"B08134108, Error",B08134109,"B08134109, Error",B08134110,"B08134110, Error",B08134111,"B08134111, Error",B08134112,"B08134112, Error",B08134113,"B08134113, Error",B08134114,"B08134114, Error",B08134115,"B08134115, Error",B08134116,"B08134116, Error",B08134117,"B08134117, Error",B08134118,"B08134118, Error",B08134119,"B08134119, Error",B08134120,"B08134120, Error"
14000US06073001000,"Census Tract 10, San Diego, CA",3639,375,76,75,711,192,848,256,548,194,201,136,470,170,303,170,337,199,145,70,3260,339,44,40,696,190,755,237,548,194,201,136,450,164,161,107,289,189,116,62,3043,385,44,40,632,179,675,236,548,194,201,136,450,164,104,80,289,189,100,48,217,152,0,17,64,74,80,87,0,17,0,17,0,17,57,70,0,17,16,24,217,152,0,17,64,74,80,87,0,17,0,17,0,17,57,70,0,17,16,24,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,195,154,0,17,0,17,0,17,0,17,0,17,20,33,98,125,48,58,29,33,176,148,0,17,0,17,0,17,0,17,0,17,20,33,98,125,48,58,10,16,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,19,30,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,19,30,32,52,32,52,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,152,116,0,17,15,25,93,105,0,17,0,17,0,17,44,60,0,17,0,17
14000US06073001100,"Census Tract 11, San Diego, CA",2090,250,138,80,475,126,456,133,288,108,138,63,254,102,127,70,148,89,66,50,1879,252,102,66,469,125,437,129,276,101,138,63,220,96,95,58,99,79,43,35,1726,259,91,62,457,123,403,129,211,80,124,59,203,93,95,58,99,79,43,35,153,68,11,17,12,19,34,30,65,53,14,19,17,19,0,12,0,12,0,12,145,67,11,17,12,19,34,30,65,53,14,19,9,13,0,12,0,12,0,12,8,13,0,12,0,12,0,12,0,12,0,12,8,13,0,12,0,12,0,12,73,44,0,12,0,12,0,12,0,12,0,12,20,22,12,18,41,34,0,12,63,41,0,12,0,12,0,12,0,12,0,12,20,22,12,18,31,30,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,10,15,0,12,0,12,0,12,0,12,0,12,0,12,0,12,10,15,0,12,56,46,22,30,6,10,8,11,6,17,0,12,14,23,0,12,0,12,0,12,82,59,14,21,0,12,11,17,6,10,0,12,0,12,20,34,8,13,23,37
14000US06073001200,"Census Tract 12, San Diego, CA",3734,409,84,64,754,241,963,192,556,230,296,144,454,225,189,127,265,123,173,114,3307,403,71,59,754,241,937,194,490,183,279,140,314,193,189,127,204,114,69,62,3083,352,71,59,682,186,906,193,468,182,220,121,303,192,160,116,204,114,69,62,224,137,0,17,72,85,31,36,22,28,59,62,11,19,29,40,0,17,0,17,213,135,0,17,72,85,31,36,22,28,59,62,0,17,29,40,0,17,0,17,11,19,0,17,0,17,0,17,0,17,0,17,11,19,0,17,0,17,0,17,213,111,0,17,0,17,0,17,0,17,0,17,48,52,0,17,61,50,104,95,213,111,0,17,0,17,0,17,0,17,0,17,48,52,0,17,61,50,104,95,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,94,78,13,21,0,17,0,17,49,65,0,17,32,50,0,17,0,17,0,17,120,108,0,17,0,17,26,43,17,27,17,27,60,94,0,17,0,17,0,17
14000US06073001300,"Census Tract 13, San Diego, CA",4054,365,115,89,744,250,941,219,782,227,305,149,487,200,355,171,157,88,168,97,3586,383,73,73,705,261,829,208,727,209,288,148,455,192,316,179,141,82,52,59,3454,353,73,73,687,256,799,197,690,209,288,148,408,180,316,179,141,82,52,59,132,96,0,17,18,27,30,49,37,38,0,17,47,63,0,17,0,17,0,17,120,92,0,17,18,27,30,49,25,31,0,17,47,63,0,17,0,17,0,17,12,21,0,17,0,17,0,17,12,21,0,17,0,17,0,17,0,17,0,17,189,101,1,2,0,17,0,17,38,37,0,17,32,36,0,17,16,28,102,82,189,101,1,2,0,17,0,17,38,37,0,17,32,36,0,17,16,28,102,82,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,99,85,0,17,39,47,60,70,0,17,0,17,0,17,0,17,0,17,0,17,180,102,41,48,0,17,52,60,17,26,17,29,0,17,39,50,0,17,14,22
14000US06073001400,"Census Tract 14, San Diego, CA",1917,198,160,88,268,98,461,139,389,102,135,106,317,107,61,46,98,56,28,32,1692,182,65,53,248,92,426,138,350,99,135,106,309,108,61,46,70,46,28,32,1521,180,62,52,214,85,362,128,323,99,124,103,286,110,61,46,70,46,19,29,171,77,3,8,34,32,64,58,27,25,11,18,23,24,0,12,0,12,9,14,142,78,3,8,34,32,64,58,18,20,11,18,12,18,0,12,0,12,0,12,29,23,0,12,0,12,0,12,9,13,0,12,11,15,0,12,0,12,9,14,32,32,0,12,0,12,8,13,0,12,0,12,8,13,0,12,16,25,0,12,32,32,0,12,0,12,8,13,0,12,0,12,8,13,0,12,16,25,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,102,77,92,75,0,12,0,12,10,16,0,12,0,12,0,12,0,12,0,12,91,49,3,7,20,23,27,24,29,34,0,12,0,12,0,12,12,19,0,12
14000US06073001500,"Census Tract 15, San Diego, CA",2202,255,222,115,311,95,282,100,503,161,80,51,482,180,141,65,33,32,148,66,2064,246,211,114,276,90,278,100,485,161,80,51,461,178,131,62,9,15,133,65,1819,265,201,112,247,77,257,98,391,145,73,48,435,180,98,50,9,15,108,60,245,111,10,17,29,34,21,25,94,74,7,13,26,42,33,39,0,12,25,27,190,97,0,12,29,34,21,25,49,46,7,13,26,42,33,39,0,12,25,27,55,50,10,17,0,12,0,12,45,44,0,12,0,12,0,12,0,12,0,12,68,43,0,12,4,11,0,12,11,16,0,12,21,23,10,15,14,22,8,14,68,43,0,12,4,11,0,12,11,16,0,12,21,23,10,15,14,22,8,14,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,42,41,2,5,23,37,0,12,7,11,0,12,0,12,0,12,10,16,0,12,28,23,9,15,8,14,4,6,0,12,0,12,0,12,0,12,0,12,7,11
14000US06073001600,"Census Tract 16, San Diego, CA",2504,391,205,134,562,330,507,188,405,149,146,121,312,175,192,125,114,86,61,61,2243,391,124,108,562,330,507,188,335,132,134,118,293,175,192,125,63,57,33,42,1913,346,42,44,469,311,421,172,335,132,134,118,258,175,158,114,63,57,33,42,330,177,82,96,93,116,86,101,0,17,0,17,35,54,34,55,0,17,0,17,330,177,82,96,93,116,86,101,0,17,0,17,35,54,34,55,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,63,63,0,17,0,17,0,17,14,26,12,19,0,17,0,17,9,17,28,46,63,63,0,17,0,17,0,17,14,26,12,19,0,17,0,17,9,17,28,46,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,107,97,65,68,0,17,0,17,0,17,0,17,0,17,0,17,42,65,0,17,91,52,16,27,0,17,0,17,56,54,0,17,19,30,0,17,0,17,0,17
14000US06073001700,"Census Tract 17, San Diego, CA",2692,397,276,221,357,214,597,189,670,206,224,126,209,93,189,100,99,74,71,86,2458,355,154,130,341,213,558,191,664,207,224,126,199,92,170,93,99,74,49,76,2414,356,144,129,341,213,550,192,652,205,224,126,199,92,156,90,99,74,49,76,44,36,10,16,0,12,8,14,12,21,0,12,0,12,14,21,0,12,0,12,44,36,10,16,0,12,8,14,12,21,0,12,0,12,14,21,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,60,53,0,12,0,12,9,14,0,12,0,12,10,16,19,32,0,12,22,37,60,53,0,12,0,12,9,14,0,12,0,12,10,16,19,32,0,12,22,37,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,122,121,122,121,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,52,54,0,12,16,26,30,32,6,16,0,12,0,12,0,12,0,12,0,12
14000US06073001800,"Census Tract 18, San Diego, CA",2934,389,173,118,574,203,539,145,401,132,129,104,349,152,114,75,312,152,343,166,2422,338,94,88,525,201,495,141,345,122,129,104,349,152,73,63,225,138,187,124,2238,351,94,88,512,200,439,137,286,98,129,104,349,152,43,42,225,138,161,123,184,109,0,17,13,23,56,59,59,66,0,17,0,17,30,35,0,17,26,34,126,96,0,17,0,17,41,55,45,60,0,17,0,17,14,23,0,17,26,34,58,47,0,17,13,23,15,25,14,23,0,17,0,17,16,27,0,17,0,17,298,148,30,45,0,17,0,17,0,17,0,17,0,17,41,37,71,86,156,114,270,137,30,45,0,17,0,17,0,17,0,17,0,17,41,37,71,86,128,109,28,47,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,28,47,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,67,56,15,25,36,41,0,17,0,17,0,17,0,17,0,17,16,26,0,17,147,86,34,50,13,18,44,52,56,67,0,17,0,17,0,17,0,17,0,17
14000US06073001900,"Census Tract 19, San Diego, CA",2035,255,102,55,480,134,383,126,434,123,123,71,348,125,71,58,71,42,23,27,1840,239,85,54,437,137,344,122,370,111,108,69,340,126,71,58,62,35,23,27,1677,223,69,49,413,135,296,100,370,111,108,69,274,108,71,58,53,30,23,27,163,127,16,25,24,35,48,65,0,12,0,12,66,61,0,12,9,16,0,12,106,76,16,25,24,35,0,12,0,12,0,12,57,59,0,12,9,16,0,12,57,68,0,12,0,12,48,65,0,12,0,12,9,15,0,12,0,12,0,12,54,64,0,12,2,5,0,12,43,63,0,12,0,12,0,12,9,14,0,12,54,64,0,12,2,5,0,12,43,63,0,12,0,12,0,12,9,14,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,47,46,17,19,30,44,0,12,0,12,0,12,0,12,0,12,0,12,0,12,94,50,0,12,11,18,39,30,21,20,15,22,8,13,0,12,0,12,0,12
